Data,Casos,Casos por dia,Óbitos por dia
29/ago./2021,4253516,3042,23
30/ago./2021,4255324,1808,36
31/ago./2021,4262684,7360,278
01/set./2021,4269138,6454,179
02/set./2021,4275258,6120,164
03/set./2021,4281972,6714,169
04/set./2021,4288443,6471,178
05/set./2021,4290459,2016,23
06/set./2021,4291993,1534,18
07/set./2021,4295149,3156,28
08/set./2021,4297229,2080,15
09/set./2021,4298180,951,218
10/set./2021,4298851,671,192
11/set./2021,4299629,778,178
12/set./2021,4300307,678,38
13/set./2021,4300644,337,22
14/set./2021,4301525,881,186
15/set./2021,4302511,986,197
16/set./2021,4325189,22678,170
17/set./2021,4348775,23586,133
18/set./2021,4350223,1448,135
19/set./2021,4350530,307,20
20/set./2021,4351001,471,5
21/set./2021,4352832,1831,191
22/set./2021,4354658,1826,200
23/set./2021,4356590,1932,193
24/set./2021,4358788,2198,215
25/set./2021,4360548,1760,175
26/set./2021,4360931,383,31
27/set./2021,4361331,400,18
28/set./2021,4363122,1791,253
29/set./2021,4364582,1460,241
30/set./2021,4366132,1550,189
01/out./2021,4367748,1616,143
02/out./2021,4369061,1313,97
03/out./2021,4369538,477,14
04/out./2021,4369743,205,22
05/out./2021,4373508,3765,143
06/out./2021,4375187,1679,172
07/out./2021,4376700,1513,139
08/out./2021,4378139,1439,90
09/out./2021,4382863,4724,98
10/out./2021,4383381,518,28
11/out./2021,4383780,399,33
12/out./2021,4384190,410,37
13/out./2021,4384416,226,9
14/out./2021,4386346,1930,103
15/out./2021,4388031,1685,79
16/out./2021,4389479,1448,90
17/out./2021,4389848,369,19
18/out./2021,4390006,158,3
19/out./2021,4391302,1296,81
20/out./2021,4393050,1748,87
21/out./2021,4394675,1625,89
22/out./2021,4396904,2229,85
23/out./2021,4398737,1833,69
24/out./2021,4399007,270,4
25/out./2021,4399216,209,1
26/out./2021,4400932,1716,78
27/out./2021,4402566,1634,59
28/out./2021,4403856,1290,116
29/out./2021,4404843,987,116
30/out./2021,4405527,684,61
31/out./2021,4406077,550,27
01/nov./2021,4406252,175,17
02/nov./2021,4406990,738,62
03/nov./2021,4407756,766,17
04/nov./2021,4409404,1648,124
05/nov./2021,4410875,1471,115
06/nov./2021,4412182,1307,179
07/nov./2021,4412882,700,11
08/nov./2021,4413241,359,0
09/nov./2021,4414187,946,2
10/nov./2021,4415745,1558,9
11/nov./2021,4417592,1847,1
12/nov./2021,4420263,2671,414
13/nov./2021,4421955,1692,105
14/nov./2021,4422424,469,1
15/nov./2021,4422590,166,7
16/nov./2021,4422923,333,1
17/nov./2021,4424893,1970,147
18/nov./2021,4426828,1935,85
19/nov./2021,4429036,2208,62
20/nov./2021,4430190,1154,99
21/nov./2021,4430977,787,12
22/nov./2021,4431196,219,5
23/nov./2021,4432720,1524,94
24/nov./2021,4433915,1195,68
25/nov./2021,4435125,1210,116
26/nov./2021,4436451,1326,124
27/nov./2021,4437386,935,114
28/nov./2021,4437843,457,9
29/nov./2021,4438012,169,4
30/nov./2021,4439105,1093,71
01/dez./2021,4440191,1086,82
02/dez./2021,4441578,1387,54
03/dez./2021,4442612,1034,66
04/dez./2021,4443589,977,69
05/dez./2021,4444413,824,14
06/dez./2021,4444626,213,7
07/dez./2021,4445942,1316,111
08/dez./2021,4447229,1287,91
09/dez./2021,4448466,1237,67
10/dez./2021,4449552,1086,53
11/12/2021,4449552,0,0
12/12/2021,4449552,0,0
13/12/2021,4449552,0,0
14/12/2021,4449552,0,0
15/12/2021,4449552,0,0
16/12/2021,4449552,0,0
17/12/2021,4450042,490,259
18/12/2021,4450144,102,51
19/12/2021,4450142,-2,6
20/12/2021,4450142,0,0
21/12/2021,4450142,0,0
22/12/2021,4450142,0,0
23/12/2021,4450265,123,61
24/12/2021,4450302,37,27
25/12/2021,4450315,13,1
26/12/2021,4450312,-3,-1
27/12/2021,4450312,0,0
28/12/2021,4450438,126,32
29/12/2021,4450438,0,0
30/12/2021,4455011,4573,59
31/12/2021,4456108,1097,19
01/01/2022,4456469,361,8
02/01/2022,4456581,112,3
03/01/2022,4456745,164,0
04/01/2022,4458689,1944,26
05/01/2022,4461651,2962,35
06/01/2022,4464183,2532,0
07/01/2022,4467399,3216,64
08/01/2022,4470957,3558,23
09/01/2022,4473190,2233,8
10/01/2022,4474109,919,12
11/01/2022,4478468,4359,36
12/01/2022,4483053,4585,44
13/01/2022,4488929,5876,53
14/01/2022,4497401,8472,100
15/01/2022,4498145,744,90
16/01/2022,4500516,2371,22
17/01/2022,4501846,1330,12
18/01/2022,4513255,11409,117
19/01/2022,4523521,10266,139
20/01/2022,4534066,10545,168
21/01/2022,4545225,11159,145
22/01/2022,4557842,12617,124
23/01/2022,4562990,5148,59
24/01/2022,4565699,2709,58
25/01/2022,4578916,13217,227
26/01/2022,4592100,13184,172
27/01/2022,4609121,17021,259
28/01/2022,4624017,14896,285
29/01/2022,4638360,14343,323
30/01/2022,4646106,7746,37
31/01/2022,4648715,2609,100
01/02/2022,4665845,17130,206
02/02/2022,4666941,1096,363
03/02/2022,4704552,37611,349
04/02/2022,4723087,18535,370
05/02/2022,4740153,17066,294
06/02/2022,4745504,5351,53
07/02/2022,4749089,3585,26
08/02/2022,4764785,15696,445
09/02/2022,4782249,17464,482
10/02/2022,4801295,19046,297
11/02/2022,4821893,20598,317
12/02/2022,4837857,15964,285
13/02/2022,4844670,6813,48
14/02/2022,4848816,4146,28
15/02/2022,4864493,15677,251
16/02/2022,4882294,17801,397
17/02/2022,4898289,15995,352
18/02/2022,4913098,14809,280
19/02/2022,4929347,16249,337
20/02/2022,4935771,6424,26
21/02/2022,4938241,2470,23
22/02/2022,4954240,15999,310
23/02/2022,4969667,15427,298
24/02/2022,4984895,15228,303
25/02/2022,4999659,14764,211
26/02/2022,5010949,11290,211
27/02/2022,5015814,4865,7
28/02/2022,5017453,1639,9
01/03/2022,5020412,2959,81
02/03/2022,5023390,2978,29
03/03/2022,5033583,10193,193
04/03/2022,5045451,11868,198
05/03/2022,5057594,12143,242
06/03/2022,5061077,3483,13
07/03/2022,5062261,1184,7
08/03/2022,5074665,12404,189
09/03/2022,5087770,13105,183
10/03/2022,5100545,12775,211
11/03/2022,5112728,12183,103
12/03/2022,5123695,10967,105
13/03/2022,5128738,5043,7
14/03/2022,5130044,1306,26
15/03/2022,5142009,11965,63
16/03/2022,5150824,8815,139
17/03/2022,5159850,9026,125
18/03/2022,5169415,9565,104
19/03/2022,5177066,7651,101
20/03/2022,5182365,5299,7
21/03/2022,5183837,1472,10
22/03/2022,5193619,9782,78
23/03/2022,5202983,9364,97
24/03/2022,5211936,8953,112
25/03/2022,5221236,9300,91
26/03/2022,5228413,7177,61
27/03/2022,5232374,3961,3
28/03/2022,5234022,1648,14
29/03/2022,5241454,7432,87
30/03/2022,5249267,7813,91
31/03/2022,5257693,8426,72
01/04/2022,5264521,6828,63
02/04/2022,5271171,6650,46
03/04/2022,5273295,2124,2
04/04/2022,5273951,656,6
05/04/2022,5280282,6331,57
06/04/2022,5287122,6840,46
07/04/2022,5294608,7486,57
08/04/2022,5301001,6393,33
09/04/2022,5306969,5968,22
10/04/2022,5309342,2373,0
11/04/2022,5310762,1420,12
12/04/2022,5318694,7932,12
13/04/2022,5326131,7437,40
14/04/2022,5332454,6323,35
15/04/2022,5336957,4503,41
16/04/2022,5337459,502,1
17/04/2022,5337460,1,3
18/04/2022,5340147,2687,4
19/04/2022,5348313,8166,65
20/04/2022,5354592,6279,44
21/04/2022,5360823,6231,23
22/04/2022,5362377,1554,3
23/04/2022,5362856,479,11
24/04/2022,5363464,608,7
25/04/2022,5364097,633,2
26/04/2022,5369822,5725,51
27/04/2022,5375515,5693,46
28/04/2022,5380307,4792,34
29/04/2022,5384320,4013,53
30/04/2022,5389345,5025,30
01/05/2022,5392069,2724,3
02/05/2022,5392656,587,1
03/05/2022,5399373,6717,45
04/05/2022,5405572,6199,21
05/05/2022,5411545,5973,18
06/05/2022,5417649,6104,23
07/05/2022,5422332,4683,5
08/05/2022,5424473,2141,0
09/05/2022,5424960,487,0
10/05/2022,5429696,4736,77
11/05/2022,5434438,4742,50
12/05/2022,5438958,4520,67
13/05/2022,5443893,4935,84
14/05/2022,5447605,3712,52
15/05/2022,5449941,2336,41
16/05/2022,5451144,1203,2
17/05/2022,5455815,4671,63
18/05/2022,5458472,2657,39
19/05/2022,5459629,1157,50
20/05/2022,5460193,564,49
21/05/2022,5465958,5765,28
22/05/2022,5467208,1250,9
23/05/2022,5468187,979,5
24/05/2022,5474146,5959,57
25/05/2022,5480732,6586,41
26/05/2022,5487134,6402,65
27/05/2022,5493061,5927,69
28/05/2022,5499768,6707,26
29/05/2022,5502590,2822,21
30/05/2022,5503518,928,7
31/05/2022,5511939,8421,43
01/06/2022,5520290,8351,47
02/06/2022,5527726,7436,84
03/06/2022,5527726,0,0
04/06/2022,5543461,15735,0
05/06/2022,5545979,2518,0
06/06/2022,5547194,1215,0
07/06/2022,5557582,10388,168
08/06/2022,5566549,8967,58
09/06/2022,5572697,6148,68
10/06/2022,5583254,10557,68
11/06/2022,5591276,8022,59
12/06/2022,5595235,3959,9
13/06/2022,5596714,1479,6
14/06/2022,5606813,10099,74
15/06/2022,5616538,9725,82
16/06/2022,5625369,8831,85
17/06/2022,5628078,2709,19
18/06/2022,5631464,3386,41
19/06/2022,5633543,2079,19
20/06/2022,5635140,1597,7
21/06/2022,5645947,10807,72
22/06/2022,5655840,9893,0
23/06/2022,5664927,9087,177
24/06/2022,5674756,9829,101
25/06/2022,5682235,7479,72
26/06/2022,5685414,3179,7
